YEAR,ALLSKY_SFC_SW_DWN,PS,QV2M,T2M,WS10M,WSC
2015,5.103516666666667,100.60083333333331,18.5175,27.03,2.195,2.33
2016,5.019091666666667,100.54083333333334,18.970000000000002,27.330000000000002,2.0058333333333334,2.1141666666666663
2017,4.746225,100.50916666666666,18.735833333333332,26.882499999999997,1.8933333333333333,2.01
2018,4.912233333333334,100.50666666666666,18.735833333333332,26.909166666666664,1.9975000000000003,2.1175
2019,5.11085,100.56166666666667,18.750833333333333,27.1775,2.1624999999999996,2.2966666666666664
2020,4.926575000000001,100.49583333333334,18.964166666666667,27.136666666666667,2.0008333333333335,2.1200000000000006
2021,4.638858333333332,100.4833333333333,18.753333333333334,26.987499999999994,1.753333333333333,1.8516666666666666
2022,4.670466666666666,100.44416666666666,18.7775,26.933333333333334,1.7716666666666672,1.8683333333333338
2023,4.804050000000001,100.51833333333333,19.102499999999996,27.404166666666665,1.9016666666666664,2.0108333333333333
2024,4.857716666666667,100.49166666666663,19.596666666666664,27.523333333333337,2.1491666666666664,2.293333333333333
